t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1639653351,3,3648.297454,3110.054557,2744.641659,390.334193,2944.396562,3648.297454,3648.297454,3648.297454,3648.297454,3648.297454,0.301437,0.200000,0.200000,0.200000,calls/second,milliseconds
1639653361,6,4897.995458,3220.871585,2260.560964,905.773110,2744.641659,3648.297454,4897.995458,4897.995458,4897.995458,4897.995458,0.300845,0.230704,0.206557,0.202210,calls/second,milliseconds
1639653371,11,4897.995458,2434.083163,1243.240055,1020.609648,1911.979846,2744.641659,4897.995458,4897.995458,4897.995458,4897.995458,0.367351,0.257972,0.212953,0.204402,calls/second,milliseconds
1639653381,15,4897.995458,2394.931876,1243.240055,890.298647,2404.992286,2744.641659,4897.995458,4897.995458,4897.995458,4897.995458,0.375543,0.295767,0.222391,0.207671,calls/second,milliseconds
1639653391,19,4897.995458,2583.108530,1243.240055,900.258905,2462.271875,3169.865079,3824.958895,4897.995458,4897.995458,4897.995458,0.380428,0.297056,0.224963,0.208694,calls/second,milliseconds
1639653401,22,4897.995458,2596.525453,1113.291570,977.496825,2654.803003,3169.865079,4191.458782,4897.995458,4897.995458,4897.995458,0.367015,0.312860,0.230701,0.210808,calls/second,milliseconds
1639653411,27,4897.995458,2539.531085,1024.440738,981.497883,2559.646909,3169.865079,4191.458782,4897.995458,4897.995458,4897.995458,0.386024,0.311525,0.233000,0.211797,calls/second,milliseconds
1639653421,31,4897.995458,2460.328737,1024.440738,980.584191,2404.992286,3169.865079,4191.458782,4897.995458,4897.995458,4897.995458,0.387781,0.355811,0.245032,0.216086,calls/second,milliseconds
1639653431,35,4897.995458,2442.287777,1011.566541,1032.189218,2404.992286,3335.862910,3830.507527,4191.458782,4897.995458,4897.995458,0.389135,0.363874,0.250167,0.218124,calls/second,milliseconds
1639653441,39,4897.995458,2494.720847,1011.566541,1035.350609,2559.646909,3336.752911,3875.733937,4191.458782,4897.995458,4897.995458,0.390222,0.354707,0.251828,0.219032,calls/second,milliseconds
1639653451,42,4897.995458,2527.779194,1011.566541,1071.892812,2606.810083,3471.509623,4357.578511,4357.578511,4897.995458,4897.995458,0.382018,0.361660,0.256686,0.221032,calls/second,milliseconds
1639653461,47,4897.995458,2506.069278,1011.566541,1072.806833,2559.646909,3483.237842,4191.458782,4357.578511,4357.578511,4897.995458,0.391853,0.368825,0.261439,0.223015,calls/second,milliseconds
1639653471,51,4897.995458,2479.160057,1011.566541,1018.436758,2557.757403,3336.752911,4191.458782,4357.578511,4357.578511,4897.995458,0.392483,0.373611,0.265981,0.224971,calls/second,milliseconds
